work_year,experience_level,employment_type,salary_in_usd,remote_ratio,company_size,employee_continent,company_continent,is_colocated
2022,2,FT,130000,NoRemote,M,NA,NA,1
2022,2,FT,90000,NoRemote,M,NA,NA,1
2022,2,FT,120000,FullRemote,M,NA,NA,1
2022,2,FT,100000,FullRemote,M,NA,NA,1
2022,2,FT,85000,FullRemote,M,NA,NA,1
2022,2,FT,78000,FullRemote,M,NA,NA,1
2022,3,FT,161000,FullRemote,M,NA,NA,1
2022,3,FT,110000,FullRemote,M,NA,NA,1
2022,3,FT,136000,FullRemote,M,NA,NA,1
2022,3,FT,104000,FullRemote,M,NA,NA,1
2022,3,FT,47379,NoRemote,M,EU,EU,1
2022,3,FT,37903,NoRemote,M,EU,EU,1
2022,4,FT,205000,NoRemote,M,NA,NA,1
2022,4,FT,160000,NoRemote,M,NA,NA,1
2022,3,FT,169000,NoRemote,M,NA,NA,1
2022,3,FT,110600,NoRemote,M,NA,NA,1
2022,1,FT,61927,FullRemote,M,EU,EU,1
2022,1,FT,49542,FullRemote,M,EU,EU,1
2022,3,FT,160000,NoRemote,M,NA,NA,1
2022,3,FT,130000,NoRemote,M,NA,NA,1
2022,3,FT,245000,NoRemote,M,NA,NA,1
2022,3,FT,180000,NoRemote,M,NA,NA,1
2022,3,FT,135000,NoRemote,M,NA,NA,1
2022,3,FT,100000,NoRemote,M,NA,NA,1
2022,3,FT,220000,NoRemote,M,NA,NA,1
2022,3,FT,150000,NoRemote,M,NA,NA,1
2022,3,FT,198440,NoRemote,L,NA,NA,1
2022,3,FT,144000,NoRemote,L,NA,NA,1
2022,3,FT,240000,NoRemote,M,NA,NA,1
2022,3,FT,170000,NoRemote,M,NA,NA,1
2022,3,FT,198440,NoRemote,M,NA,NA,1
2022,3,FT,144000,NoRemote,M,NA,NA,1
2022,2,FT,150000,FullRemote,M,NA,NA,1
2022,2,FT,100000,FullRemote,M,NA,NA,1
2022,3,FT,120000,NoRemote,M,NA,NA,1
2022,3,FT,95000,NoRemote,M,NA,NA,1
2022,2,FT,58211,HalfRemote,M,EU,EU,1
2022,1,FT,64000,FullRemote,L,NA,NA,1
2022,1,FT,40009,HalfRemote,L,EU,EU,1
2022,3,FT,187200,FullRemote,M,NA,NA,1
2022,3,FT,116100,FullRemote,M,NA,NA,1
2022,3,FT,150000,NoRemote,M,NA,NA,1
2022,3,FT,127000,NoRemote,M,NA,NA,1
2022,3,FT,275000,FullRemote,M,NA,NA,1
2022,3,FT,166000,FullRemote,M,NA,NA,1
2022,3,FT,159699,NoRemote,M,NA,NA,1
2022,3,FT,138938,NoRemote,M,NA,NA,1
2022,1,FT,76000,HalfRemote,L,NA,NA,1
2022,3,FT,166700,NoRemote,M,NA,NA,1
2022,3,FT,119000,NoRemote,M,NA,NA,1
2022,3,FT,130000,NoRemote,M,NA,NA,1
2022,3,FT,100000,NoRemote,M,NA,NA,1
2022,3,FT,104038,NoRemote,M,EU,EU,1
2022,3,FT,92891,NoRemote,M,EU,EU,1
2022,3,FT,80000,NoRemote,M,NA,NA,1
2022,3,FT,52500,NoRemote,M,NA,NA,1
2022,3,FT,236000,FullRemote,M,NA,NA,1
2022,3,FT,182000,FullRemote,M,NA,NA,1
2022,3,FT,180000,FullRemote,M,NA,NA,1
2022,3,FT,140000,FullRemote,M,NA,NA,1
2022,3,FT,225000,NoRemote,M,NA,NA,1
2022,3,FT,156400,NoRemote,M,NA,NA,1
2022,3,FT,135000,FullRemote,M,NA,NA,1
2022,3,FT,100000,FullRemote,M,NA,NA,1
2022,3,FT,204500,NoRemote,M,NA,NA,1
